American Colonization Society,"American Colonization Society (ACS), originally known as the The Society for the Colonization of Free People of Color of America, was founded in 1816 by Robert Finley to encourage and support the migration of free African Americans to the continent of Africa.",
Missouri Compromise,"""The Missouri Compromise was United States federal legislation that stopped northern attempts to forever prohibit slavery's expansion by admitting Missouri as a slave state in exchange for legislation which prohibited slavery north of the 36°30′ parallel except for Missouri. The 16th United States Congress passed the legislation on March 3, 1820, and President James Monroe signed it on March 6, 1820.Earlier, in February 1819, Representative James Tallmadge Jr., a Jeffersonian Republican from New York, had submitted two amendments to Missouri's request for statehood that included restrictions on slavery. Southerners objected to any bill that imposed federal restrictions on slavery and believed that it was a state issue, as settled by the Constitution.  However, with the Senate evenly split at the opening of the debates, both sections possessing 11 states, the admission of Missouri as a slave state would give the South an advantage. Northern critics including Federalists and Democratic-Republicans objected to the expansion of slavery into the Louisiana Purchase territory on the Constitutional inequalities of the three-fifths rule, which conferred Southern representation in the federal government derived from a state's slave population. Jeffersonian Republicans in the North ardently maintained that a strict interpretation of the Constitution required that Congress act to limit the spread of slavery on egalitarian grounds. """"[Northern] Republicans rooted their antislavery arguments, not on expediency, but in egalitarian morality."""" """"The Constitution [said northern Jeffersonians], strictly interpreted, gave the sons of the founding generation the legal tools to hasten [the] removal [of slavery], including the refusal to admit additional slave states.""""When free-soil Maine offered its petition for statehood, the Senate quickly linked the Maine and Missouri bills, making Maine admission a condition for Missouri entering the Union as a slave state. Senator Jesse B. Thomas of Illinois added a compromise proviso that excluded slavery from all remaining lands of the Louisiana Purchase north of the 36° 30' parallel. The combined measures passed the Senate, only to be voted down in the House by Northern representatives who held out for a free Missouri. Speaker of the House Henry Clay of Kentucky, in a desperate bid to break the deadlock, divided the Senate bills. Clay and his pro-compromise allies succeeded in pressuring half of the anti-restrictionist House Southerners to submit to the passage of the Thomas proviso and maneuvered a number of restrictionist House northerners to acquiesce in supporting Missouri as a slave state. The Missouri question in the 15th Congress ended in stalemate on March 4, 1819, the House sustaining its northern antislavery position and the Senate blocking a slavery restricted statehood.""",
Era of Good Feelings,"The Era of Good Feelings marked a period in the political history of the United States that reflected a sense of national purpose and a desire for unity among Americans in the aftermath of the War of 1812. The era saw the collapse of the Federalist Party and an end to the bitter partisan disputes between it and the dominant Democratic-Republican Party during the First Party System. President James Monroe strove to downplay partisan affiliation in making his nominations, with the ultimate goal of national unity and eliminating political parties altogether from national politics. The period is so closely associated with Monroe's presidency (1817–1825) and his administrative goals that his name and the era are virtually synonymous.During and after the 1824 presidential election, the Democratic-Republican Party split between supporters and opponents of Jacksonian Democracy, leading to the Second Party System.",
Tariff of Abominations,"""The Tariff of 1828 was a very high protective tariff that became law in the United States in May 1828. It was a bill designed to not pass Congress because it hurt both industry and farming, but surprisingly it passed. The bill was vehemently denounced in the South and escalated to a threat of civil war in the Nullification crisis of 1832-1833. The tariff was replaced in 1833 and the crisis ended. It was called """"Tariff of Abominations"""" by its Southern detractors because of the effects it had on the Southern economy. It set a 38% tax on some imported goods and a 45% tax on certain imported raw materials.The manufacturing-based economy in the Northeastern states was suffering from low-priced imported manufactured items from Britain. The major goal of the tariff was to protect the factories by taxing imports from Europe. Southerners from the cotton belt, particularly those from South Carolina, felt they were harmed directly by having to pay more for imports from Europe. Allegedly, the South was also harmed indirectly because reducing the exportation of British goods to the U.S. would make it difficult for the British to pay for the cotton they imported from the South.  The reaction in the South, particularly in South Carolina, led to the Nullification Crisis.""",
American Federation of Labor,"The American Federation of Labor (AFL) was a national federation of labor unions in the United States founded in Columbus, Ohio, in December 1886 by an alliance of craft unions disaffected from the Knights of Labor, a national labor union. Samuel Gompers of the Cigar Makers' International Union was elected president at its founding convention and reelected every year, except one, until his death in 1924.",
Dawes Act,"""The Dawes Act of 1887 (also known as the General Allotment Act or the Dawes Severalty Act of 1887; named after Senator Henry L. Dawes of Massachusetts) regulated land rights on tribal territories within the United States. It authorized the President of the United States to subdivide Native American tribal communal landholdings into allotments for Native American heads of families and individuals. This would convert traditional systems of land tenure into a government-imposed system of private property by forcing Native Americans to """"assume a capitalist and proprietary relationship with property"""" that did not previously exist in their cultures. The act would declare remaining lands after allotment as """"surplus"""" and available for sale, including to non-Natives. Before private property could be dispensed, the government had to determine """"which Indians were eligible"""" for allotments, which propelled an """"official search for a federal definition of Indian-ness.""""Although the act was passed in 1887, the federal government implemented the Dawes Act """"on a tribe-by-tribe basis"""" thereafter. For example, in 1895, Congress passed the Hunter Act, which administered Dawes """"among the Southern Ute."""" The nominal purpose of the act was to protect """"the property of the natives"""" as well as to compel """"their absorption into the American mainstream."""" Native peoples who were deemed to be """"mixed-blood"""" were forced to accept U.S. citizenship, while others were """"detribalized."""" Between 1887 and 1934, Native Americans """"lost control of about 100 million acres of land"""" or about """"two-thirds of the land base they held in 1887"""" as a result of the act. The loss of land and the break-up of traditional leadership of tribes produced negative cultural and social effects that have since prompted scholars to refer to the act as one of the most destructive U.S. policies for Native Americans in history.The """"Five Civilized Tribes"""" (Cherokee, Chickasaw, Choctaw, Muscogee, and Seminole) in Indian Territory were initially exempt from the Dawes Act. The Dawes Commission was established in 1893 as a delegation to register members of tribes for allotment of lands. They came to define tribal belonging in terms of blood-quantum. But, because there was no method of determining precise bloodlines, commission members often assigned """"full-blood status"""" to Native Americans who were perceived as """"poorly-assimilated"""" or """"legally incompetent,"""" and """"mixed-blood status"""" to Native Americans who """"most resembled whites,"""" regardless of how they identified culturally.The Curtis Act of 1898 extended the provisions of the Dawes Act to the """"Five Civilized Tribes,"""" required the abolition of their governments and dissolution of tribal courts, allotment of communal lands to individuals registered as tribal members, and sale of lands declared surplus. This law was """"an outgrowth of the land rush of 1889, and completed the extinction of Indian land claims in the territory. This violated the promise of the United States that the Indian territory would remain Indian land in perpetuity,"""" completed the obliteration of tribal land titles in Indian Territory, and prepared for admission of the territory land to the Union as the state of Oklahoma.The Dawes Act was amended again in 1906 under the Burke Act.""",
Alfred Thayer Mahan,"""Alfred Thayer Mahan (; September 27, 1840 – December 1, 1914) was a United States naval officer and historian, whom John Keegan called """"the most important American strategist of the nineteenth century."""" His book The Influence of Sea Power Upon History, 1660–1783 (1890) won immediate recognition, especially in Europe, and with its successor, The Influence of Sea Power Upon the French Revolution and Empire, 1793–1812 (1892), made him world-famous and perhaps the most influential American author of the nineteenth century.""",
baby boomers,"""Baby boomers (often shortened to boomers) are the demographic cohort following the Silent Generation and preceding Generation X. The generation is generally defined as people born from 1946 to 1964, during the post–World War II baby boom. The term is also used outside the United States but the dates, the demographic context and the cultural identifiers may vary. The baby boom has been described variously as a """"shockwave"""" and as """"the pig in the python"""". Baby boomers are often parents of late Gen Xers and Millennials.In the West, boomers' childhoods in the 1950s and 1960s saw significant reforms in education, both as part of the ideological confrontation that was the Cold War, and as a continuation of the interwar period. In the 1960s and 1970s, as this relatively large number of young people entered their teens and young adulthood—the oldest turned 18 in 1964—they, and those around them, created a very specific rhetoric around their cohort and the social movements brought about by their size in numbers, such as the counterculture of the 1960s and its backlash. In many countries, this period was one of deep political instability due to the postwar youth bulge; in China, boomers lived through the Cultural Revolution and were subject to the one-child policy as adults. These social changes and rhetoric had an important impact in the perceptions of the boomers, as well as society's increasingly common tendency to define the world in terms of generations, which was a relatively new phenomenon. That this group reached puberty and maximum height earlier than previous generations added to the tension between the generations.In Europe and North America, many boomers came of age in a time of increasing affluence and widespread government subsidies in post-war housing and education, and grew up genuinely expecting the world to improve with time. Those with higher standards of living and educational levels were often the most demanding of betterment. In the early twenty-first century, baby boomers in developed countries, with a few exceptions, are the single biggest cohort in their societies due to sub-replacement fertility and population aging.""",
Sputnik,"""Sputnik 1 (; """"Satellite-1"""", or """"PS-1"""", Простейший Спутник-1 or Prosteyshiy Sputnik-1, """"Elementary Satellite 1"""") was the first artificial Earth satellite. It was launched into an elliptical low Earth orbit by the USSR on 4 October 1957 as part of the Soviet space program. It orbited for three weeks before its batteries died and then orbited silently for two months before it fell back into the atmosphere on the 4th January 1958.""",
beat generation,"The Beat Generation was a literary movement started by a group of authors whose work explored and influenced American culture and politics in the post-war era. The bulk of their work was published and popularized throughout the 1950s. The central elements of Beat culture are the rejection of standard narrative values, making a spiritual quest, the exploration of American and Eastern religions, the rejection of economic materialism, explicit portrayals of the human condition, experimentation with psychedelic drugs, and sexual liberation and exploration.Allen Ginsberg's Howl (1956), William S. Burroughs' Naked Lunch (1959), and Jack Kerouac's On the Road (1957) are among the best known examples of Beat literature. Both Howl and Naked Lunch were the focus of obscenity trials that ultimately helped to liberalize publishing in the United States. The members of the Beat Generation developed a reputation as new bohemian hedonists, who celebrated non-conformity and spontaneous creativity.",
Brown v. Board of Education,"""Brown v. Board of Education of Topeka, 347 U.S. 483 (1954), was a landmark decision of the U.S. Supreme Court in which the Court ruled that U.S. state laws establishing racial segregation in public schools are unconstitutional, even if the segregated schools are otherwise equal in quality. Handed down on May 17, 1954, the Court's unanimous (9–0) decision stated that """"separate educational facilities are inherently unequal"""", and therefore violate the Equal Protection Clause of the Fourteenth Amendment of the U.S. Constitution. However, the decision's 14 pages did not spell out any sort of method for ending racial segregation in schools, and the Court's second decision in Brown II (349 U.S. 294 (1955)) only ordered states to desegregate """"with all deliberate speed"""".""",
bank holiday,"A bank holiday is a national public holiday in the United Kingdom and the Crown dependencies. The term refers to all public holidays in the United Kingdom be they set out in statute, declared by royal proclamation or held by convention under common law. The term is also colloquially used to refer to public holidays in the Republic of Ireland.",
National Recovery Administration,"""The National Recovery Administration (NRA) was a prime agency established by U.S. president Franklin D. Roosevelt (FDR) in 1933.  The goal of the administration was to eliminate """"cut throat competition"""" by bringing industry, labor, and government together to create codes of """"fair practices"""" and set prices. The NRA was created by the National Industrial Recovery Act (NIRA) and allowed industries to get together and write """"codes of fair competition."""" The codes intended both to help workers set maximum  wages and maximum weekly hours, as well as minimum prices at which products could be sold. The NRA also had a two-year renewal charter and was set to expire in June 1935 if not renewed.The NRA, symbolized by the Blue Eagle, was popular with workers. Businesses that supported the NRA put the symbol in their shop windows and on their packages, though they did not always go along with the regulations entailed. Though membership of the NRA was voluntary, businesses that did not display the eagle were very often boycotted, making it seem mandatory for survival to many.""",
Scottsboro boys,"The Scottsboro Boys were nine African-American teenagers, ages 12 to 19, accused in Alabama of raping two white women in 1931.  The landmark set of legal cases from this incident dealt with racism and the right to a fair trial. The cases included a lynch mob before the suspects had been indicted, all-white juries, rushed trials, and disruptive mobs. It is commonly cited as an example of a miscarriage of justice in the United States legal system.",
XYZ Affair,"The XYZ Affair was a political and diplomatic episode in 1797 and 1798, early in the presidency of John Adams, involving a confrontation between the United States and Republican France that led to the Quasi-War. The name derives from the substitution of the letters X, Y, and Z for the names of French diplomats Jean-Conrad Hottinguer (X), Pierre Bellamy (Y), and Lucien Hauteval (Z) in documents released by the Adams administration.",
Whiskey Rebellion,"""The Whiskey Rebellion (also known as the Whiskey Insurrection) was a tax protest in the United States beginning in 1791 and ending in 1794 during the presidency of George Washington, ultimately under the command of American Revolutionary war veteran Major James McFarlane. The so-called """"whiskey tax"""" was the first tax imposed on a domestic product by the newly formed federal government. Beer was difficult to transport and spoiled more easily than rum and whiskey. Rum distillation in the United States had been disrupted during the American Revolutionary War, and, for factors described below, whiskey distribution and consumption increased after the Revolutionary War (aggregate production had not surpassed rum by 1791). The """"whiskey tax"""" became law in 1791, and was intended to generate revenue for the war debt incurred during the Revolutionary War. The tax applied to all distilled spirits, but consumption of US whiskey was rapidly expanding in the late 18th century, so the excise became widely known as a """"whiskey tax"""". Farmers of the western frontier were accustomed to distilling their surplus rye, barley, wheat, corn, or fermented grain mixtures to make whiskey. These farmers resisted the tax. In these regions, whiskey often served as a medium of exchange. Many of the resisters were war veterans who believed that they were fighting for the principles of the American Revolution, in particular against taxation without local representation, while the federal government maintained that the taxes were the legal expression of Congressional taxation powers.""",
Bank War,The Bank War was a political struggle that developed over the issue of rechartering the Second Bank of the United States (B.U.S.) during the presidency of Andrew Jackson (1829–1837). The affair resulted in the shutdown of the Bank and its replacement by state banks.,
spoils system,"In politics and government, a spoils system (also known as a patronage system) is a practice in which a political party, after winning an election, gives government civil service jobs to its supporters, friends (cronyism), and relatives (nepotism) as a reward for working toward victory, and as an incentive to keep working for the party—as opposed to a merit system, where offices are awarded on the basis of some measure of merit, independent of political activity.",
Second Great Awakening,"The Second Great Awakening was a Protestant religious revival during the early 19th century in the United States. The Second Great Awakening, which spread religion through revivals and emotional preaching, sparked a number of reform movements. Revivals were a key part of the movement and attracted hundreds of converts to new Protestant denominations. The Methodist Church used circuit riders to reach people in frontier locations. The Second Great Awakening led to a period of antebellum social reform and an emphasis on salvation by institutions. The outpouring of religious fervor and revival began in Kentucky and Tennessee in the 1790s and early 1800s among the Presbyterians, Methodists and Baptists. The awakening brought comfort in the face of uncertainty as a result of the socio-political changes in America.",
Transcendentalism,"""Transcendentalism is a philosophical movement that developed in the late 1820s and 1830s in the eastern United States. A core belief is in the inherent goodness of people and nature, and while society and its institutions have corrupted the purity of the individual, people are at their best when truly """"self-reliant"""" and independent. Transcendentalists saw divine experience inherent in the every day, rather than believing in a distant heaven. Transcendentalists saw physical and spiritual phenomena as part of dynamic processes rather than discrete entities.""",
Battle of Saratoga,"The Battles of Saratoga (September 19 and October 7, 1777) marked the climax of the Saratoga campaign, giving a decisive victory to the Americans over the British in the American Revolutionary War.  British General John Burgoyne led a large invasion army southward from Canada in the Champlain Valley, hoping to meet a similar British force marching northward from New York City and another British force marching eastward from Lake Ontario; the southern and western forces never arrived, and Burgoyne was surrounded by American forces in upstate New York. He fought two small battles to break out which took place 18 days apart on the same ground, 9 miles (14 km) south of Saratoga, New York. They both failed.",
Olive Branch Petition,"The Olive Branch Petition was adopted by the Second Continental Congress on July 5, 1775, and signed on July 8 in a final attempt to avoid war between Great Britain and the Thirteen Colonies in America. The Congress had already authorized the invasion of Canada more than a week earlier, but the petition affirmed American loyalty to Great Britain and beseeched King George III to prevent further conflict. It was followed by the July 6 Declaration of the Causes and Necessity of Taking Up Arms, however, which made its success unlikely in London.  In August 1775, the colonies were formally declared to be in rebellion by the Proclamation of Rebellion, and the petition was rejected by the British government; King George had refused to read it before declaring the colonists traitors.",
Bay of Pigs,"The Bay of Pigs (Spanish: Bahía de los Cochinos) is an inlet of the Gulf of Cazones located on the southern coast of Cuba. By 1910, it was included in Santa Clara Province, and then instead to Las Villas Province by 1961, but in 1976, it was reassigned to Matanzas Province, when the original six provinces of Cuba were re-organized into 14 new Provinces of Cuba.",
Malcolm X,"Malcolm X (born Malcolm Little; May 19, 1925 – February 21, 1965) was an African-American Muslim minister and human rights activist who was a popular figure during the civil rights movement. He is best known for his time spent as a vocal spokesman for the Nation of Islam.",
War on Poverty,"""The war on poverty is the unofficial name for legislation first introduced by United States President Lyndon B. Johnson during his State of the Union address on January 8, 1964. This legislation was proposed by Johnson in response to a national poverty rate of around nineteen percent.  The speech led the United States Congress to pass the Economic Opportunity Act, which established the Office of Economic Opportunity (OEO) to administer the local application of federal funds targeted against poverty. The forty programs established by the Act were collectively aimed at eliminating poverty by improving living conditions for residents of low-income neighborhoods and by helping the poor access economic opportunities long denied them.As a part of the Great Society, Johnson believed in expanding the federal government's roles in education and health care as poverty reduction strategies.  These policies can also be seen as a continuation of Franklin D. Roosevelt's New Deal, which ran from 1933 to 1937, and Roosevelt's Four Freedoms of 1941. Johnson stated, """"Our aim is not only to relieve the symptom of poverty, but to cure it and, above all, to prevent it"""".The legacy of the war on poverty policy initiative remains in the continued existence of such federal government programs as Head Start, Volunteers in Service to America (VISTA), TRiO, and Job Corps.""",
Warren Commission,"The President's Commission on the Assassination of President Kennedy, known unofficially as the Warren Commission, was established by President Lyndon B. Johnson through Executive Order 11130 on November 29, 1963, to investigate the assassination of United States President John F. Kennedy that had taken place on November 22, 1963. The U.S. Congress passed Senate Joint Resolution 137 authorizing the Presidential appointed Commission to report on the assassination of President John F. Kennedy, mandating the attendance and testimony of witnesses and the production of evidence. Its 888-page final report was presented to President Johnson on September 24, 1964, and made public three days later. It concluded that President Kennedy was assassinated by Lee Harvey Oswald and that Oswald acted entirely alone. It also concluded that Jack Ruby acted alone when he killed Oswald two days later. The Commission's findings have proven controversial and have been both challenged and supported by later studies.",
Bland-Allison Act,"The Bland–Allison Act, also referred to as the Grand Bland Plan of 1878, was an act of United States Congress requiring the U.S. Treasury to buy a certain amount of silver and put it into circulation as silver dollars. Though the bill was vetoed by President Rutherford B. Hayes, the Congress overrode Hayes's veto on February 28, 1878 to enact the law. The text of the act can be found in the Congressional Record under the further reading section of this article.",
Thomas Nast,"""Thomas Nast (; German: [nast]; September 27, 1840 – December 7, 1902) was a German-born American caricaturist and editorial cartoonist often considered to be the """"Father of the American Cartoon"""". He was a critic of Democratic Representative """"Boss"""" Tweed and the Tammany Hall Democratic party political machine. Among his notable works were the creation of the modern version of Santa Claus (based on the traditional German figures of Sankt Nikolaus and Weihnachtsmann) and the political symbol of the elephant for the Republican Party (GOP). Contrary to popular belief, Nast did not create Uncle Sam (the male personification of the United States Federal Government), Columbia (the female personification of American values), or the Democratic donkey, though he popularized those symbols by his artwork. Nast was associated with the magazine Harper's Weekly from 1859 to 1860 and from 1862 until 1886.""",
Munn v. Illinois,"""Munn v. Illinois, 94 U.S. 113 (1876), was a United States Supreme Court case in which the Court upheld the power of state governments to regulate private industries that affect """"the common good.""""""",
Boxer Rebellion,"The Boxer Rebellion, Boxer Uprising or Yihetuan Movement, was an armed and violent, anti-Christian, and anti-imperialist insurrection in China between 1899 and 1901, towards the end of the Qing dynasty.",
Coxey’s Army,"""Coxey's Army was a protest march by unemployed workers from the United States, led by Ohio businessman Jacob Coxey. They marched on Washington, D.C. in 1894, the second year of a four-year economic depression that was the worst in United States history to that time. Officially named the Army of the Commonwealth in Christ, its nickname came from its leader and was more enduring. It was the first significant popular protest march on Washington, and the expression """"Enough food to feed Coxey's Army"""" originates from this march.""",
Teller Amendment,"""The Teller Amendment was an amendment to a joint resolution of the United States Congress, enacted on April 20, 1898, in reply to President William McKinley's War Message. It placed a condition on the United States military's presence in Cuba. According to the clause, the U.S. could not annex Cuba but only leave """"control of the island to its people."""" In short, the U.S. would help Cuba gain independence and then withdraw all its troops from the country.""",
Freedmen’s Bureau,"""The Bureau of Refugees, Freedmen, and Abandoned Lands, usually referred to as simply the Freedmen's Bureau, was an important agency of early  Reconstruction, assisting freedmen in the South. It operated briefly as a  U.S. government agency, from 1865 to 1872, after the American Civil War, to direct """"provisions, clothing, and fuel...for the immediate and temporary shelter and supply of destitute and suffering refugees and freedmen and their wives and children"""".The Freedmen's Bureau Bill, which established the Freedmen's Bureau on March 3, 1865, as initiated by U.S. President Abraham Lincoln, was intended to last for one year after the end of the Civil War. The Bureau became a part of the United States Department of War, as Congress provided no funding for it. The War Department was the only agency with funds the Freedmen's Bureau could use and with an existing presence in the South.""",
Battle of Little Big Horn,"The Battle of the Little Bighorn, known to the Lakota and other Plains Indians as the Battle of the Greasy Grass and also commonly referred to as Custer's Last Stand, was an armed engagement between combined forces of the Lakota, Northern Cheyenne, and Arapaho tribes and the 7th Cavalry Regiment of the United States Army. The battle, which resulted in the defeat of U.S. forces, was the most significant action of the Great Sioux War of 1876. It took place on June 25–26, 1876, along the Little Bighorn River in the Crow Indian Reservation in southeastern Montana Territory.The fight was an overwhelming victory for the Lakota, Northern Cheyenne, and Arapaho, who were led by several major war leaders, including Crazy Horse and Chief Gall, and had been inspired by the visions of Sitting Bull (Tȟatȟáŋka Íyotake). The U.S. 7th Cavalry, a force of 700 men, suffered a major defeat while commanded by Lieutenant Colonel George Armstrong Custer (formerly a brevetted major general during the American Civil War). Five of the 7th Cavalry's twelve companies were annihilated and Custer was killed, as were two of his brothers, a nephew, and a brother-in-law. The total U.S. casualty count included 268 dead and 55 severely wounded (six died later from their wounds), including four Crow Indian scouts and at least two Arikara Indian scouts.",
Freedom Summer,"Freedom Summer, also known as the Freedom Summer Project or the Mississippi Summer Project, was a volunteer campaign in the United States launched in June 1964 to attempt to register as many African-American voters as possible in Mississippi. Blacks had been restricted from voting since the turn of the century due to barriers to voter registration and other laws. The project also set up dozens of Freedom Schools, Freedom Houses, and community centers in small towns throughout Mississippi to aid the local Black population.",
Greensboro sit-ins,"The Greensboro sit-ins were a series of nonviolent protests in February to July 1960, primarily in the Woolworth store—now the International Civil Rights Center and Museum—in Greensboro, North Carolina, which led to the F. W. Woolworth Company department store chain removing its policy of racial segregation in the Southern United States. While not the first sit-in of the civil rights movement, the Greensboro sit-ins were an instrumental action, and also the best-known sit-ins of the civil rights movement. They are considered a catalyst to the subsequent sit-in movement, in which 70,000 people participated. This sit-in was a contributing factor in the formation of the Student Nonviolent Coordinating Committee (SNCC).",
U-2 incident,"The 1960 U-2 incident occurred on 1 May 1960, when an American U-2 spy plane was shot down by the Soviet Air Defence Forces while performing photographic aerial reconnaissance deep inside Soviet territory. The single-seat aircraft, flown by CIA pilot Francis Gary Powers, was hit by an S-75 Dvina (SA-2 Guideline) surface-to-air missile and crashed near Sverdlovsk (present-day Yekaterinburg). Powers ejected and parachuted to the ground safely, where he was subsequently captured by Soviet forces.",
Committee on Public Information,"The Committee on Public Information (1917–1919), also known as the CPI or the Creel Committee, was an independent agency of the government of the United States under the Wilson administration created to influence public opinion to support the US in World War I, in particular, the US home front.",
League of Nations,"The League of Nations, abbreviated as LON (French: Société des Nations [sɔsjete de nɑsjɔ̃], abbreviated as SDN or SdN), was the first worldwide intergovernmental organisation whose principal mission was to maintain world peace. Founded on 10 January 1920 following the Paris Peace Conference that ended the First World War, it ceased operations on 20 April 1946.",
Federal Reserve System,"The Federal Reserve System (also known as the Federal Reserve or simply the Fed) is the central banking system of the United States of America. It was created on December 23, 1913, with the enactment of the Federal Reserve Act, after a series of financial panics (particularly the panic of 1907) led to the desire for central control of the monetary system in order to alleviate financial crises. Over the years, events such as the Great Depression in the 1930s and the Great Recession during the 2000s have led to the expansion of the roles and responsibilities of the Federal Reserve System.The U.S. Congress established three key objectives for monetary policy in the Federal Reserve Act: maximizing employment, stabilizing prices, and moderating long-term interest rates. The first two objectives are sometimes referred to as the Federal Reserve's dual mandate. Its duties have expanded over the years, and currently also include supervising and regulating banks, maintaining the stability of the financial system, and providing financial services to depository institutions, the U.S. government, and foreign official institutions. The Fed also conducts research into the economy and provides numerous publications, such as the Beige Book and the FRED database.",
International Workers of the World,"""The Industrial Workers of the World (IWW), members of which are commonly termed """"Wobblies"""", is an international labor union that was founded in 1905 in Chicago, Illinois, in the United States. The union combines general unionism with industrial unionism, as it is a general union, subdivided between the various industries which employ its members. The philosophy and tactics of the IWW are described as """"revolutionary industrial unionism"""", with ties to socialist, syndicalist, and anarchist labor movements.""",
